title,authors,doi,year,abstract,Normalized Title,Normalized Authors
developing an ai readiness model for software project management  a thematic analysis,R. B. M. T. Bandara; R. Wickramarachchi,10.1109/ICARC64760.2025.10962923,2025,integrating emerging technologies  such as artificial intelligence  ai  big data  and blockchain  is transforming software project management by optimizing processes  improving quality  and enabling greater automation  ai tools  including generative ai  machine learning  and natural language processing  are increasingly applied across project life cycle stages to address tasks such as resource allocation  stakeholder identification  documentation  and risk management  this study employed a systematic literature review to explore ai applications and key adoption determinants  including technical feasibility  organizational culture  data quality  and leadership support  additionally  semi structured interviews with project managers and leaders provided practical insights into organizational preparedness and ai applications  thematic analysis of the findings identified critical readiness factors  such as technical feasibility  the ability to refine ai outputs  and effective prompt engineering  a comprehensive framework was developed to assess ai readiness across technical  organizational  and human dimensions  the proposed framework offers actionable insights for organizations to evaluate and improve their readiness for ai adoption systematically  this study provides a foundation for enhancing organizational preparedness and driving successful ai implementation by addressing the complexities of integrating ai into software project management ,developing an ai readiness model for software project management a thematic analysis,bbandaramrrtwickramarachchi
software project management using machine learning technique   a review,M. Z. M. H; M. N. Mahdi; M. S. Mohd Azmi; L. K. Cheng; A. Yusof; A. R. Ahmad,10.1109/ICIMU49871.2020.9243543,2020,project management planning assessment is of great significance in project performance activities  the creation of project management cannot be effectively handled without a practical and rational strategy  this paper offers a large scale review analysis of articles based on machine learning and risk evaluation management for software projects  the reviews are presented and classified into two groups  the first group covers project management analysis and survey articles  the second group contains works on the steps and experimental criteria that are widely used in the management of machine learning projects  the paper provides a deeper insight and an important framework for future work in the project risk assessment  highlights the estimation of project risk using machine learning is more efficient in reducing the project s fault and provides a further way to reduce the probability chances effectively and to increase the software development performance ratio ,software project management using machine learning technique  a review,aaahmadazmichenghklmmmmmahdimohdnrsyusofz
a systematic short review of machine learning and artificial intelligence integration in current project management techniques,H. Sarwar; M. Rahman,10.1109/SEAI62072.2024.10674089,2024,in the ever evolving landscape of project management  integrating machine learning  ml  and artificial intelligence  ai  within contemporary project management software  pms  is a transformative frontier that holds significant promise  as the complexity and scope of a project develop  conventional approaches can encounter difficulties in delivering the required agility and predictive skills  ml and ai provide sophisticated data analysis  predictive modeling  and automation capabilities that enable enterprises to efficiently utilize resources  proactively identify hazards  and effectively respond to evolving needs  this connection provides project managers with practical information and allows them to make decisions based on data in high speed contexts  this short systematic literature review  slr  rigorously analyzes the present level of ml integration in pms  the inquiry involves formulating research inquiries  devising a comprehensive search plan  selecting rigorous studies  and integrating data according to a well defined review methodology that is influenced by established norms  this short review outlines the primary domains in which ml improves project management  emphasizes the practical difficulties encountered  and reveals the growing patterns of incorporating cutting edge technology  we present a strategic framework for guiding future research directions  providing a basis for practitioners and scholars to comprehend the significant influence of integrating ml and ai on project management  in essence  this study highlights the capacity of ml and ai to revolutionize project management by enabling the discovery of novel efficiencies  enhancing the decision  making process  and fundamentally altering the administration of projects in a world driven by data ,a systematic short review of machine learning and artificial intelligence integration in current project management techniques,hmrahmansarwar
online solution based on machine learning for it project management in software factory companies,A. H. Marchinares; C. R. Rodriguez,10.1109/CICN51697.2021.9574682,2021,project portfolio management is relevant for the growth of companies since it favors planning  project portfolio management manages the resources to plan  control  and execute projects and obtain the strategic objectives of the organizations  in project portfolio management  a large amount of data is forged  important for planning new projects in companies  therefore  the need arises to create models that help process and interpret the data  in this context  machine learning is presented as a technological enabler that allows a system  by itself and in an automated way  to learn to discover trends  patterns  and relationships between data  it is an engine of digital transformation of business and that organizations are embracing  therefore  this article aims to compile and review proposals made to implement machine learning in the management of the project portfolio and apply algorithms that allow the development of models that help in the management and evaluation of projects to be developed in a software factory  the crisp dm methodology is applied to process the data of costs  times  and types of projects  the python programming language is used  the dataset corresponds to a software factory  the results validate the models implemented using machine learning algorithms  such as regression and decision trees  and thereby obtain the best model for predictions  establishing the correlation between variables and the benefit to be achieved  it is concluded  the implementation of machine learning improves the it project portfolio management  helping to identify which projects are more profitable and beneficial ,online solution based on machine learning for it project management in software factory companies,achmarchinaresrrodriguez
ai powered it project management  analyzing the effectiveness of advanced project management tools to ensure project efficiency,J. K. Das; I. Elegbe; L. Coffie; R. Khadka; L. Chen; Y. Ji,10.1109/SoutheastCon56624.2025.10971718,2025,the integration of artificial intelligence  ai  into project management has significantly transformed traditional methodologies  particularly within the information technology  it  sector  this study investigates the effectiveness of ai powered tools  specifically asana  jira  and monday com to improve project management efficiency through automation  resource optimization  and decision making processes  using a systematic literature review and quantitative analysis  the research highlights the capabilities and limitations of these tools in the management of complex it projects  the study findings reveal that ai powered platforms facilitate real time tracking  predictive analytics and dynamic resource allocation  which collectively contribute to reduced project timelines and improved outcomes  however  challenges such as data quality  integration complexities  and the need for skilled personnel remain prevalent  the study was summarized with strategic recommendations for organizations to incorporate automation  leverage predictive analytics  and improve data integrity  thus maximizing the benefits of ai in project management  this research underscores the critical role of ai in modernizing project management practices  which ultimately leads to increased productivity and project success rates in the it domain ,aipowered it project management analyzing the effectiveness of advanced project management tools to ensure project efficiency,chencoffiedaselegbeijjikkhadkallry
a systematic literature review and meta analysis on project management platform,Yunofri; N. B. Kurniawan,10.1109/ICITSI.2018.8695958,2018,every project implementation must involve its management process  project management is a system that enables organizations to manage their projects  the development of information technology encourages the development of techniques and methodologies used in project management  this study aims to provide a detailed insight into the trends of project management with systematic literature review and has a particular focus on the project management platform  therefore  it is necessary to understand the features  technology and architecture of the project management platform  meta analysis is needed to determine the optimal layer of project management platform architecture with principal component analysis techniques  trends in the project management platform literature were analyzed from 2000 to 2018  the findings from the analysis highlighted some of the generic features that project management platforms should have such as schedule monitoring management  process management  configuration user management  document management  financial cost management and resources management  by doing principal component analysis  the number of optimal layers in the project management platform is obtained four  application layer  service layer  data integration layer and management layer ,a systematic literature review and metaanalysis on project management platform,bkurniawannyunofri
design and development of machine learning technique for software project risk assessment   a review,M. N. Mahdi; M. Zabil M.H.; A. Yusof; L. K. Cheng; M. S. Mohd Azmi; A. R. Ahmad,10.1109/ICIMU49871.2020.9243459,2020,accurate assessment of software project risk is amongst the key activities in a software project  it directly impacts the time and cost of software projects  this paper presents a literature review of designing   developing machine learning techniques for software project risk assessment  the results of the review have concluded prominent trends of machine learning approaches  size metrics  and study findings in the growth and advancement of machine learning in project management  besides that  this research provides a deeper insight and an important framework for future work in the software project risk assessment  furthermore  we demonstrated that the assessment of project risk using machine learning is more efficient in reducing a project s fault  it also increases the probability for the software project s prediction and response  provides a further way to reduce the probability chances of failure effectively and to increase the software development performance ratio ,design and development of machine learning technique for software project risk assessment  a review,aaahmadazmichengklmmmmahdimhmohdnrsyusofzabil
an investigation into the impact of artificial intelligence on the future of project management,A. Alshaikhi; M. Khayyat,10.1109/WiDSTaif52235.2021.9430234,2021,the purpose of the study is to investigate the impact of artificial intelligence on the future of project management  this study provides detailed conceptual information about artificial intelligence and different perspectives  artificial intelligence is defined as the new technical discipline  which would develop an application system  a technological method in order to simulate the expansion and extension of human intelligence  this research is a review that discusses how artificial intelligence affects project management  the paper has discussed various benefits of ai adoption and its implementation  the results show that technology and ai cannot replace the human mind  machine and other ai robots can automate tools and tasks  but at the end of the day  machines need human help to operate and monitor ,an investigation into the impact of artificial intelligence on the future of project management,aalshaikhikhayyatm
evaluating the inclusiveness of artificial intelligence software in enhancing project management efficiency   a review and examples of quantitative measurement methods,V. Alevizos; I. Georgousis; A. Simasiku; A. Messinis; S. Karypidou; D. Malliarou,10.1109/ACDSA59508.2024.10467463,2024,the escalating integration of artificial intelligence  ai  in various domains  especially project management  pm  has brought to light the imperative need for inclusivity in ai systems  this paper investigates the role of ai software in augmenting both the inclusiveness and efficiency within the realm of pm  the research pivots around specific criteria that define and measure the inclusiveness of ai in pm  highlighting how ai  when developed with inclusiveness in mind  can significantly enhance project outcomes  however  there are inherent challenges in achieving this inclusiveness  primarily due to biases embedded in ai learning databases and the design and development processes of ai systems  the study offers a comprehensive examination of ai s potential to revolutionize pm by enabling managers to concentrate more on people centric aspects of their work  this is achieved through ai s ability to perform tasks such as data collection  reporting  and predictive analysis more consistently and efficiently than human counterparts  however  the incorporation of ai in pm extends beyond mere efficiency  it represents a paradigm shift in the epistemology of pm  calling for a deeper understanding of ai s role and impact on society  despite these advantages  the adoption of ai comes with significant challenges  particularly in terms of bias and inclusiveness  biased ai learning databases  which use shared and reusable datasets  often perpetuate initially discriminatory algorithms  moreover  unconscious biases and stereotypes of ai designers  developers  and trainers can inadvertently influence the behavior of the ai systems they create  this necessitates a paradigmatic shift in how ai systems are developed and governed to ensure they do not replicate or exacerbate existing social inequalities  the research proposes a methodological approach involving the development of criteria for inclusion and exclusion  alongside data extraction  to evaluate the inclusiveness and efficiency of ai software in enhancing pm  this approach is crucial for understanding and addressing the challenges and limitations of ai in the context of pm  by focusing on inclusiveness  the study underscores the importance of a synergy between technological advancement and ethical consideration  demanding a comprehensive understanding and regulation to mitigate risks and maximize benefits  in conclusion  this paper presents a detailed exploration of ai s role in pm highlighting both its potential benefits and the ethical challenges it poses  the findings and recommendations of this study contribute to the growing discourse on the need for inclusive ai systems in pm  offering insights for ai developers and project managers  pms  alike ,evaluating the inclusiveness of artificial intelligence software in enhancing project management efficiency  a review and examples of quantitative measurement methods,aaalevizosdgeorgousisikarypidoumalliaroumessinisssimasikuv
post covid 19 pandemic it project management skills and challenges,L. Ali; N. Taleb; A. Ali; I. A. Abu-AlSondos; H. Naseem; F. Yousaf; M. Abdelhakim,10.1109/ICBATS57792.2023.10111320,2023,since december 2019  the covid 19 pandemic has harmed social  financial  and work life  the novel coronavirus has caused problems in all business sectors  including information technology it  many projects have been stopped or delayed due to the impact of this pandemic  most of the companies recognized the importance of it to achieve competitive advantage and to survive  companies are investing a lot of money in it projects  more than 60  of it project fail  lack of professional it project management is one of the main reasons for that fail  managing it projects is a complex problem  crises such as covid 19 and uncertainty are increasing the complexity and challenges in it projects management  this paper investigates what are the it project management key success factors required during and after the pandemic  secondary data were collected from literature review in the field of it project management  an online questionnaire was used to collect the primary data from 107 it firms  323 respondents were participated  it is concluded that the following key success factors are required  e communication  centralization of data  online project monitoring  designing new policies and guidelines for incorporating new work culture  gaining and establishing project risk management exercises  especially cybersecurity and data protection by gaining access to the latest tools  establishing a culture for strict usage of personal protective equipment  ppes  to help project managers complete projects safely  and top management support ,postcovid19 pandemic it project management skills and challenges,aaabdelhakimabualsondosalialifhilmnnaseemtalebyousaf
