title,authors,doi,year,abstract
Systematic Literature Review: Deep Learning and Machine Learning Analysis for Batik Peranakan Tionghoa Datasets,M. H. Widianto; M. Karmagatri; R. K. Widyasari; A. Darisman; H. Hasan,10.1109/ICORIS63540.2024.10903900,2024,"This research focuses on searching for Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) for Systematic Literature Reviews (SLR). After that, the use of Deep Learning (DL) and Machine Learning (ML) will be analyzed. This study also presents a dataset that makes it possible to utilize ML and DL. SLR results obtained 21 research papers focusing on ML and DL analysis (classification and pattern recognition). However, both algorithms also have their respective advantages and disadvantages. For this reason, this research presents the advantages and disadvantages of both ML and DL analysis for Chinese Peranakan Batik."
Developing an AI Readiness Model for Software Project Management: A Thematic Analysis,R. B. M. T. Bandara; R. Wickramarachchi,10.1109/ICARC64760.2025.10962923,2025,"Integrating emerging technologies, such as Artificial Intelligence (AI), Big Data, and Blockchain, is transforming software project management by optimizing processes, improving quality, and enabling greater automation. AI tools, including Generative AI, Machine Learning, and Natural Language Processing, are increasingly applied across project life cycle stages to address tasks such as resource allocation, stakeholder identification, documentation, and risk management. This study employed a systematic literature review to explore AI applications and key adoption determinants, including technical feasibility, organizational culture, data quality, and leadership support. Additionally, semi-structured interviews with project managers and leaders provided practical insights into organizational preparedness and AI applications. Thematic analysis of the findings identified critical readiness factors, such as technical feasibility, the ability to refine AI outputs, and effective prompt engineering. A comprehensive framework was developed to assess AI readiness across technical, organizational, and human dimensions. The proposed framework offers actionable insights for organizations to evaluate and improve their readiness for AI adoption systematically. This study provides a foundation for enhancing organizational preparedness and driving successful AI implementation by addressing the complexities of integrating AI into software project management."
The Influence of Agile Methodology (Scrum) on Software Project Management,F. Hayat; A. U. Rehman; K. S. Arif; K. Wahab; M. Abbas,10.1109/SNPD.2019.8935813,2019,"Software project management has main role in the Software industry. It includes different processes and knowledge areas. The triple constraint of the software project like time, cost and scope is directly dependent on the requirement of the project. Agile methodology is the iterative way for developing the software project for frequent changes, fast delivery and reduce risk. Software project management also plays important role in agile based software project. Agile methodology influence software project management at 10 knowledge areas. In this study we carried out survey from different software companies and it shows that almost every software company uses agile development (Scrum) and has a positive impact on the software project management."
Software Project Management Using Machine Learning Technique - A Review,M. Z. M. H; M. N. Mahdi; M. S. Mohd Azmi; L. K. Cheng; A. Yusof; A. R. Ahmad,10.1109/ICIMU49871.2020.9243543,2020,"Project management planning assessment is of great significance in project performance activities. The creation of project management cannot be effectively handled without a practical and rational strategy. This paper offers a large-scale review analysis of articles based on machine learning and risk evaluation management for software projects. The reviews are presented and classified into two groups. The first group covers project management analysis and survey articles. The second group contains works on the steps and experimental criteria that are widely used in the management of machine learning projects. The paper provides a deeper insight and an important framework for future work in the project risk assessment, highlights the estimation of project risk using machine-learning is more efficient in reducing the project's fault and provides a further way to reduce the probability chances effectively and to increase the software development performance ratio."
Quality Assurance for LLM-Generated Test Cases: A Systematic Literature Review,H. Edirisinghe; D. Wickramaarachchi,10.1109/SLAAI-ICAI63667.2024.10844968,2024,"The rapid advancements in artificial intelligence have transformed software testing, with Large Language Models (LLMs) emerging as powerful tools for automating test case generation. This paper explores Quality Assurance (QA) for LLM-generated test cases in black-box testing through a systematic literature review. Though LLMs are increasingly used for test case generation, challenges in ensuring their quality remain. Following PRISMA guidelines, relevant studies were selected from databases focusing on critical quality attributes, QA frameworks, metrics, and challenges. LLMs demonstrate high efficiency but face numerous issues. A recommendation for future research is given on addressing standardized metrics and improving human-AI collaboration for enhanced testing outcomes."
A Systematic Literature Review on AI-Based Recommendation Systems and Their Ethical Considerations,E. Masciari; A. Umair; M. H. Ullah,10.1109/ACCESS.2024.3451054,2024,"With the rise of social media, individuals face challenges in decision-making due to the abundance of options available. Recommender Systems (RSs) leverage Artificial Intelligence (AI) to provide users with personalized suggestions aligned with their preferences and interests. This study presents a systematic review of AI-based Recommender Systems, focusing on recent advancements and primary studies published between 2019 and 2024. While several review papers have addressed various aspects of RSs, the rapid evolution of AI techniques necessitates an updated review to capture the latest trends and innovations. We systematically gathered data from five major databases: IEEE, Springer, Science Direct, ACM, and Wiley. Through the PRISMA methodology, we selected 85 relevant studies. Our analysis addresses several key research questions: the types of datasets and data sources used, major application fields, prevalent machine learning and AI techniques, overall research productivity, and the limitations and future trends in AI-based RSs. Our findings indicate that advanced AI techniques, particularly those incorporating deep learning with multiple hidden layers and transformer models like BERT, significantly enhance the accuracy and effectiveness of Recommender Systems. Furthermore, we observed a trend towards integrating contextual and real-time data to improve recommendation relevance. Additionally, we discuss ethical considerations such as privacy, data security, bias, and transparency, emphasizing the need for responsible AI development to ensure fair and equitable recommendations. These insights can guide future research and development efforts in the field."
WIP: Generative and Custom Chatbots in Computer Programming Education and Their Effectiveness A Systematic Literature Review,S. H. Tanvir; G. J. Kim,10.1109/FIE61694.2024.10893425,2024,"This work-in-progress research-to-practice paper describes a systematic literature review on the use of chatbots in programming courses. We scoped existing peer-reviewed and published articles focusing on the strength of custom-built chatbots and generative AI chatbots in computer engineering education - specifically, courses that employ C++, Java, and Python programming languages. The purpose of this work is to obtain in-depth information about chatbots, with a focus on their functionality, application, and effectiveness. We were also interested in the extent to which learning taxonomies and frameworks are integrated with chatbots. This study adopted the Preferred Reporting Items for Systematic Reviews and Meta-Analysis (PRISMA) framework to review n=20 articles. Based on the reviews, we provide a set of guidelines on how learning taxonomies and instructional design frameworks can be mapped while developing or implementing chatbots in programming courses."
Advancements in Deep Learning Optimization for Post-Earthquake Building Damage Detection A Systematic Review,S. Sonang; Y. Yuhandri; M. Tajuddin,10.1109/ICAISD63055.2024.10894853,2024,"This study conducts a systematic literature review (SLR) that focuses on optimizing deep-learning techniques for post-earthquake building damage detection. By employing the PRISMA protocol, this review aimed to collect, analyze, and summarize the findings of various studies published between 2014 and 2024. This research identifies and evaluates optimization methods such as hyperparameter tuning, transfer learning, and data augmentation, highlighting their effectiveness and implementation. Challenges such as data quality, computational costs, and model interpretability were also discussed. The findings indicate that while deep learning techniques significantly enhance the accuracy and efficiency of damage detection, further research is required to address existing challenges and improve model robustness in diverse earthquake scenarios."
A Systematic Short Review of Machine Learning and Artificial Intelligence Integration in Current Project Management Techniques,H. Sarwar; M. Rahman,10.1109/SEAI62072.2024.10674089,2024,"In the ever-evolving landscape of project management, integrating machine learning (ML) and artificial intelligence (AI) within contemporary project management software (PMS) is a transformative frontier that holds significant promise. As the complexity and scope of a project develop, conventional approaches can encounter difficulties in delivering the required agility and predictive skills. ML and AI provide sophisticated data analysis, predictive modeling, and automation capabilities that enable enterprises to efficiently utilize resources, proactively identify hazards, and effectively respond to evolving needs. This connection provides project managers with practical information and allows them to make decisions based on data in high-speed contexts. This short systematic literature review (SLR) rigorously analyzes the present level of ML integration in PMS. The inquiry involves formulating research inquiries, devising a comprehensive search plan, selecting rigorous studies, and integrating data according to a well-defined review methodology that is influenced by established norms. This short review outlines the primary domains in which ML improves project management, emphasizes the practical difficulties encountered, and reveals the growing patterns of incorporating cutting-edge technology. We present a strategic framework for guiding future research directions, providing a basis for practitioners and scholars to comprehend the significant influence of integrating ML and AI on project management. In essence, this study highlights the capacity of ML and AI to revolutionize project management by enabling the discovery of novel efficiencies, enhancing the decision- making process, and fundamentally altering the administration of projects in a world driven by data."
The Convergence of AI and Wireless Communication System in Modern Aquaculture: A Systematic Review,A. P. Junfithrana; A. K. Mahamad; W. M. Utomo; A. Suryana,10.1109/ICCED64257.2024.10983111,2024,"This research examines the synergy between artificial intelligence (AI) technology and wireless communication in aquaculture through the Systematic Literature Review (SLR) method. With the increasing demand for fishery products, aquaculture offers a sustainable solution to meet global food needs. The problem faced is the need for sustainable solutions to meet the growing demand for fishery products. The methods used include data collection from the Scopus database, the use of PRISMA diagrams for literature selection, and data analysis using RStudio, resulting in 36 documents analyzed. The research results show that AI and wireless communication technology have great potential in improving the efficiency and productivity of aquaculture. The integration of AI and wireless communication allows real-time monitoring of environmental conditions and fish health, increasing efficiency and productivity. The contribution of this research is to provide a comprehensive insight into how this technology can improve aquaculture yields and product quality, as well as identify challenges in its implementation."
Systematic Literature Review on Software Effort Estimation Using Machine Learning Approaches,P. Sharma; J. Singh,10.1109/ICNGCIS.2017.33,2017,"Accurate effort estimation is amongst the key activities in the software project development. It directly impacts the time and cost of the software projects. This paper presents a systematic literature review of software effort estimation techniques using machine learning. This review presents a discussion about the research trends in machine learning inspired software effort estimation. The results of the systematic review has concluded prominent trends of machine learning approaches, size metrics, benchmark datasets, validation methods etc. used for software effort estimation."
Systematic Literature Review and Bibliometric Analysis on Ethical Policies for Generative Artificial Intelligence (GAI) in Higher Education Institutions (HEIs),A. Arista; L. Shuib; M. A. Ismail,10.1109/ICIMCIS63449.2024.10956736,2024,"Generative Artificial Intelligence (GAI) has revolutionized higher education with features like instant feedback, resource and material creation, adaptive learning, interactivity, and more. However, GAI also brings with it a number of serious challenges that raise ethical and moral concerns regarding academic integrity. To carry out this transition process, it will be necessary to develop clear guidelines that adhere to integrity standards and ethical codes of higher education institutions. In addition to offering responses to a number of research questions, the purpose of this study is to further the current discourse surrounding the moral guidelines for GAI in higher education. Using the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) technique and Bibliometric Analysis using VOSviewer, 37 related research studies were reviewed and evaluated. The results demonstrate that the number of articles published has been increasing over time, with the largest number of scientific publications occurring in 2024. This can be explained by the fact that, despite the fact that GAI offers benefits and drawbacks for the educational sector, particularly for higher education, it also makes clear how important it is for professionals and organizations to use GAI tools in order to handle ethical issues by continuously developing policies. By creating norms and policies, future ethical problems with GAI in education may be more accurately predicted. The engagement and dedication of academic experts and other relevant stakeholders are essential to achieving this goal of increasing public awareness and effectively utilizing GAI technology."
Exploring the Impact of Generative AI on Customer Engagement in Digital Marketing,R. Wiputra; M. Rafindio; A. R. Kurniawan; A. R. Rahardjo,10.1109/ICIC64337.2024.10956926,2024,"Generative Artificial Intelligence (Gen AI) can increase the impact of digital marketing. By adopting Gen AI, marketers can create dynamic content tailoring to personalized strategies to optimize customer interactions, which increases engagement and sales. Despite challenges such as data privacy concerns and the potential loss of human interaction, the advantages of Gen AI in boosting customer engagement are substantial. Therefore, we did a systematic literature review using the PRISMA methodology to reveal how Gen AI improves digital marketing. The review highlights the role of gen AI in digital marketing and how it affects the tools marketers use in marketing. The urgency of adapting gen AI in digital marketing is to gain a benefit over competitors and tackle the challenges. Based on Bowden’s customer engagement framework, our findings reveal that Gen AI significantly impacts customer delight and affective commitment, which are critical components of long-term customer loyalty. Additionally, this review examines how gen AI increases customer engagement by affecting their environments and manipulating the tools integrated by AI to increase the likelihood of customer delight and affective commitment."
