ID,ENTRYTYPE,title,author,year,journal,volume,number,pages,doi,url,keywords,abstract,note,issn
AVDEEVA202017499,article,The Distributed Situational Centers System as an Instrument of State and Corporate Strategic Goal-Setting in the Digital Economy,Z.K. Avdeeva and S.V. Kovriga and V.E. Lepskiy and A.N. Raikov and B.B. Slavin and A.A. Zatsarinny,2020,IFAC-PapersOnLine,53,2,17499-17504,https://doi.org/10.1016/j.ifacol.2020.12.2156,https://www.sciencedirect.com/science/article/pii/S2405896320328093,"Artificial general intelligence, semantics, self-organization, strategic planning, situational centers","The increasing complexity of corporate digital design, goal setting and management, for which the power of classical scientific approaches to management is insufficient in the digital economy, is noted. In the digital economy, the known principle of the impossibility to automate chaos is replaced by a need for situational control based on providing multi-level fully functional project management using artificial intelligence (AI) and artificial general intelligence (AGI). At the same time, the system of distributed situational centers can become an effective tool for supporting strategic goal-setting. Much that has been done in this field and in the field of AI is of profound significance, but the classical approach to AI cannot embrace the different levels of the subjects’ emotions, consciousness, and the collective unconscious. The aspects of breakthrough and disruptive management urgently need to be developed. Attention must be focused on the issue of collective decision making under conditions of uncertainty causes and in unforeseen situations. Priority should be given to the socio-humanitarian and collective cognitive aspects of AI applications. Under these conditions, distributed situational centers system and some methods of AGI become the main cross-cutting digital technologies for ensuring corporate strategic goal-setting in the digital economy.",21st IFAC World Congress,2405-8963
SILVA2024177,article,Bibliographic review of AI applied to project management and its analysis in the context of the metalworking industry,José Silva and Paulo Ávila and João Matias and Luíz Faria and João Bastos and Luís Ferreira and Hélio Castro,2024,Procedia CIRP,130,,177-187,https://doi.org/10.1016/j.procir.2024.10.073,https://www.sciencedirect.com/science/article/pii/S2212827124012265,"Project Management, Schedule, Planning, Forecast, Artificial Intelligence, General or Strong AI, Narrow or Weak AI, Machine Learning, Deep Learning, Metalworking","Competition between companies, especially in the metalworking industry, has driven the continuous search for strategies that aim to reduce costs, improve product quality, and shorten delivery times. However, a persistent challenge that these industries face is delivery delays, caused by a number of complex factors, including supply chain issues, project management difficulties, technical and work issues. To address this issue, several approaches and methodologies have been adopted. On the one hand, agile management tools such as Scrum, Prince2 Agile, Lean Project Management, Agile Project Management and DSDM (Dynamic Systems Development Method) have been implemented to increase the flexibility and adaptability of production processes. On the other hand, classic analytical solutions, such as the Gantt/Waterfall Method, PMBOK Guide, Spiral Model, Prince2 and the Critical Path Method (CPM) and/or the PERT method, have been applied to ensure a clearer and more structured view of projects. In addition to these traditional approaches, the use of Artificial Intelligence (AI) has emerged as a promising tool in project management. A detailed analysis of articles reveals a marked preference for Machine Learning (ML), with particular emphasis on Artificial Neural Networks (ANNs). These AI techniques have been successfully applied in a variety of projects, especially in civil construction, helping to predict and mitigate delays, improve operational efficiency and optimize resource allocation. Despite the progress made, research on the use of AI in project management still faces significant challenges, as reflected in the scarcity of available studies on the topic in project management in the metalworking industry.",57th CIRP Conference on Manufacturing Systems 2024 (CMS 2024),2212-8271
SMIT2025100187,article,Ambiguous regulations for dealing with AI in higher education can lead to moral hazards among students,Michelle Smit and Reinhard F. Wagner and Taryn Jane Bond-Barnard,2025,Project Leadership and Society,6,,100187,https://doi.org/10.1016/j.plas.2025.100187,https://www.sciencedirect.com/science/article/pii/S2666721525000122,"Artificial intelligence, Higher education, ChatGPT, Moral hazard, Survey","The aim of this study was to investigate the ethical dilemmas and expectations surrounding the use of generative AI in academic work within a South African-based hybrid online master's program in engineering management. Central to this program is its strong focus on project management and engineering leadership, to drive ethical decision-making in their professional contexts. A total of 102 current and graduated students from the master's program were surveyed to explore their use of generative AI tools, such as ChatGPT and Grammarly, in both professional and academic contexts. The survey showed that 98 % of students actively use generative AI, demonstrating an awareness of its potential and usefulness. While anecdotal evidence suggests moral hazard including plagiarism, undisclosed AI use and reliance on AI without independent reasoning. 94 % Of students seek clear institutional policies at the university and program levels to guide the ethical use of AI in academia. Students with higher confidence in their academic writing tend to perceive the quality of AI-generated content to be slightly inferior to their own work, highlighting varying dependency levels across the cohort. Furthermore, many students believe that universities should adopt explicit guidelines to define when and how AI tools are appropriate for academic work. These findings suggest that the absence of clear policies exacerbates ethical conflicts, impacting both educators and students. The results of this research underscore the urgency of developing transparent guidelines to safeguard academic integrity while embracing the potential of generative AI. By framing the findings within the moral hazard theory, this study highlights the risks of over-reliance on AI tools and opens avenues for future research into their responsible integration in higher education.",,2666-7215
ALLALCHERIF202169,article,Intelligent purchasing: How artificial intelligence can redefine the purchasing function,Oihab Allal-Chérif and Virginia Simón-Moya and Antonio Carlos Cuenca Ballester,2021,Journal of Business Research,124,,69-76,https://doi.org/10.1016/j.jbusres.2020.11.050,https://www.sciencedirect.com/science/article/pii/S0148296320308031,"Artificial intelligence, Purchasing function, Machine learning, Matching systems, Decision-making, Collaborative project management","Artificial intelligence (AI) can affect all of a company’s functions, not least the purchasing department. In addition to automating and optimizing existing processes, AI opens up new opportunities for purchasers to undertake new, strategic, collaborative, enduring missions. AI enables complex, strategic decision-making in an unpredictable, hostile environment. This article analyzes to what extent AI can improve the performance of the purchasing department. First, a review is undertaken of how AI is used in purchasing. Thereafter, the research follows an exploratory, inductive, and qualitative approach based on a multiple case study of the following technologies: (1) the Synertrade automated international purchasing system; (2) the Silex matching system; (3) SAP Ariba decision support; (4) Jaggaer supplier relations management; and (5) the Ideapoke collaborative ideation and innovative project management platform. The present study’s contributions lie in its redefinition of the purchasing function, of the purchaser’s role, of supplier relationship management policy, and of interdepartmental collaboration, involving, for example, Marketing and R&D.",,0148-2963
WYSOCKI2026112641,article,Leveraging LLM-based data augmentation for automatic classification of recurring tasks in software development projects,Włodzimierz Wysocki and Mirosław Ochodek,2026,Journal of Systems and Software,231,,112641,https://doi.org/10.1016/j.jss.2025.112641,https://www.sciencedirect.com/science/article/pii/S0164121225003103,"Automatic task classification, Software process simulation, NLP, Large language models, Data augmentation, Class-imbalanced data, XGBoost","Background:
Issue tracking systems (ITS) store project task data that is valuable for analytics and simulation. Projects typically include two types of tasks: stateful and recurring. While stateful tasks can be automatically categorized with relative ease, categorizing recurring tasks remains challenging. Prior research indicates that a key difficulty may lie in the underrepresentation of certain task types, which leads to severely imbalanced training datasets and hampers the accuracy of machine-learning models for task categorization.
Aims:
The goal of this study is to evaluate whether leveraging large language models (LLM) for data augmentation can enhance the machine-learning-based categorization of recurring tasks in software projects.
Method:
We conduct our study on a dataset from six industrial projects comprising 9,589 tasks. To address class imbalance, we up-sample minority classes during training via data augmentation using LLMs and several prompting strategies, assessing their impact on prediction quality. For each project, we perform time-series 5-fold cross-validation and evaluate the classifiers using state-of-the-art metrics — Accuracy, Precision, Recall, F1-score, and MCC — as well as practice-inspired metric called Monthly Classification Error (MCE) that assess the impact of task misclassification on project planning and resource allocation. Our machine-learning pipeline employs Transformer-based sentence embeddings and XGBoost classifiers.
Results:
The model automatically classifies software process tasks into 14 classes, achieving MCC values between 0.71 and 0.76. We observed higher prediction quality for the largest projects in the dataset and for those managed using “traditional” project management methodologies. Moreover, employing intra-project data augmentation strategies reduced the MCE error by up to 43%.
Conclusions:
Our findings indicate that large language models (LLMs) can be used to mitigate the impact of imbalanced task categories, thereby enhancing the performance of classification models even with limited training data.",,0164-1212
OLIVIU20251913,article,Using Automation and Artificial Intelligence in the Management of European Social Fund Projects,Matei Oliviu and Laura Andreica and Faragau Tudor,2025,Procedia Computer Science,256,,1913-1920,https://doi.org/10.1016/j.procs.2025.02.333,https://www.sciencedirect.com/science/article/pii/S187705092500701X,"project management, workflows, digitalization, innovation, AI, digital transition, SME’s, European Social Fund, automation","This paper aims to evaluate the potential impact of digitalization on the efficiency of project management and to identify the extent to which digitalization can replace monotonous and repetitive human tasks. The study draws on our direct experience with implementing a digital platform named AIDA POCU, designed to streamline the implementation of previous POCU projects funded by the European Social Fund (ESF). This platform seeks to alleviate the bureaucratic burden of managing such projects for various public and private sector entities, thus allowing them to concentrate more on operational activities related to project beneficiaries rather than on administrative tasks associated with managing a POCU or POE type project. Furthermore, the paper explores the feasibility of incorporating more emerging technologies into ESF projects.",CENTERIS - International Conference on ENTERprise Information Systems / ProjMAN - International Conference on Project MANagement / HCist - International Conference on Health and Social Care Information Systems and Technologies,1877-0509
JACKSON2024100666,article,"Enablers, barriers and strategies for adopting new technology in accounting",Denise Jackson and Christina Allen,2024,International Journal of Accounting Information Systems,52,,100666,https://doi.org/10.1016/j.accinf.2023.100666,https://www.sciencedirect.com/science/article/pii/S1467089523000581,"Technology–Organisation–Environment framework, Technology adoption, Barriers, Strategies, Enablers","Although the benefits of technological innovation are widely recognised, the accounting profession continues to undervalue and inadequately leverage technologies such as artificial intelligence, robotic process automation and blockchain. This study builds on earlier work on the antecedents and barriers to technology adoption and considers the role of technological, organisational and environmental factors in the accounting context. The mixed methods design involved surveying 585 accounting managers in Australia and parts of South-East Asia and interviewing 20 Australian accounting managers. Using the Technology–Organisation–Environment model, the study explored differences in the importance of factors by region and organisational type and investigated manager perspectives on strategies to support adoption. Findings indicated that security and privacy concerns are paramount to decision-making, while environment-related factors were of less importance. Prioritised strategies included staying informed of technological innovation, encouraging staff engagement and support, and implementing effective project management. The study illuminates the critical role of professional associations and industry bodies in providing tailored support for members to foster greater technological orientation and advance in the accounting profession, including advocating for high-level, technology-related strategies to drive organisational transformation.",,1467-0895
AS2022554,article,Automated progress monitoring of construction projects using Machine learning and image processing approach,Greeshma A.S. and Jeena B. Edayadiyil,2022,Materials Today: Proceedings,65,,554-563,https://doi.org/10.1016/j.matpr.2022.03.137,https://www.sciencedirect.com/science/article/pii/S2214785322014602,"Machine Learning, Image Processing, Artificial Intelligence, Automation in Construction, Construction Monitoring System","Project progress tracking and controlling is one of the most critical responsibilities of construction project management. Current practices for forecasting the effectiveness of a construction project include an evaluation that is still laborious, long-drawn-out, and can prone to errors. Digitalization has a tremendous potential to enhance management practices in the field of construction. The building sector has been reluctant to admit new technology. This points out the importance of an automated method for tracking the progress of projects. The goal of this research is to implement a monitoring system for Construction Progress Tracking (CPT). Machine learning and image processing techniques are used to ensure CPT automatically. In particular, masonry activity in construction is focused, though it can be broadened to other construction work. The proposed deep learning model is trained using a set of data of 356 images taken from several worksites and websites. The proposed system is demonstrated with OpenCV Python language and an automated progress report is generated in Microsoft excel. The study developed a platform for automated building project progress monitoring. It has also built a systematic strategy for gathering the standardized dataset for benchmarking purposes. The following are some of the study's notable findings: A supervised CNN classifier was constructed for brickwork recognition using spatial and color information. The classifier worked well, with accuracy and recall values of 81% and 83%, respectively. A uniform collection of 356 photos was created. This resulted in the creation of a benchmarked dataset for a masonry wall. The achieved results reveal high precision and speed to effectively detect the construction project without the interference of human activities, thereby facilitating improved inspection and supervision.",International Conference on Advances in Construction Materials and Structures,2214-7853
MILLER2022100068,article,Stakeholder roles in artificial intelligence projects,Gloria J. Miller,2022,Project Leadership and Society,3,,100068,https://doi.org/10.1016/j.plas.2022.100068,https://www.sciencedirect.com/science/article/pii/S266672152200028X,"Artificial intelligence, Algorithms, Project management, Stakeholder theory, Big data","Algorithmic decision-making implemented through artificial intelligence (AI) projects is augmenting or replacing human decision-making across numerous industries. Although AI systems may impact individuals and society in life-and-death situations, project organizations or plans may ignore the concerns of the passive stakeholders. This research describes the components, lifecycle, and characteristics of AI projects. It employs stakeholder theory and a systematic literature review with thematic analysis to identify and classify individuals, groups, and organizations into six stakeholder project roles. It configures the stakeholder salience model with a harm attribute to identify passive stakeholders—individuals affected by AI systems but powerless to affect the project—and their nexus to the project. The study contributes a novel method for identifying passive stakeholders and highlights the need to engage developers, operators, and representatives of passive stakeholders to achieve moral, ethical, and sustainable development.",,2666-7215
DZHUSUPOVA2024111945,article,Choosing the right path for AI integration in engineering companies: A strategic guide,Rimma Dzhusupova and Jan Bosch and Helena Holmström Olsson,2024,Journal of Systems and Software,210,,111945,https://doi.org/10.1016/j.jss.2023.111945,https://www.sciencedirect.com/science/article/pii/S0164121223003400,"Machine learning, Deep learning, Artificial intelligence, Developing and deploying AI project, Engineering procurement and construction industry","The Engineering, Procurement and Construction (EPC) businesses operating within the energy sector are recognizing the increasing importance of Artificial Intelligence (AI). Many EPC companies and their clients have realized the benefits of applying AI to their businesses in order to reduce manual work, drive productivity, and streamline future operations of engineered installations in a highly competitive industry. The current AI market offers various solutions and services to support this industry, but organizations must understand how to acquire AI technology in the most beneficial way based on their business strategy and available resources. This paper presents a framework for EPC companies in their transformation towards AI. Our work is based on examples of project execution of AI-based products development at one of the biggest EPC contractors worldwide and on insights from EPC vendor companies already integrating AI into their engineering solutions. The paper covers the entire life cycle of building AI solutions, from initial business understanding to deployment and further evolution. The framework identifies how various factors influence the choice of approach toward AI project development within large international engineering corporations. By presenting a practical guide for optimal approach selection, this paper contributes to the research in AI project management and organizational strategies for integrating AI technology into businesses. The framework might also help engineering companies choose the optimum AI approach to create business value.",,0164-1212
SERRANO2022100100,article,Verification and Validation for data marketplaces via a blockchain and smart contracts,Will Serrano,2022,Blockchain: Research and Applications,3,4,100100,https://doi.org/10.1016/j.bcra.2022.100100,https://www.sciencedirect.com/science/article/pii/S2096720922000410,"Data marketplace, Project information model, Smart cities, Smart buildings, Real estate, Distributed ledger technology, Blockchain, Smart contracts, Artificial intelligence","Actual challenges with data in physical infrastructure include: 1) the adversity of its velocity based on access and retrieval, thus integration; 2) its value as its intrinsic quality; 3) its extensive volume with a limited variety in terms of systems; and finally, 4) its veracity, as data can be modified to obtain an economical advantage. Physical infrastructure design based on Agile project management and minimum viable products provides benefits against the traditional waterfall method. Agile supports an early return on investment that promotes circular reinvesting while making the product more adaptable to variable social-economical environments. However, Agile also presents inherent issues due to its iterative approach. Furthermore, project information requires an efficient record of the aims, requirements, and governance not only for the investors, owners, or users but also to keep evidence in future health & safety and other statutory compliance. In order to address these issues, this article presents a Validation and Verification (V&V) model for data marketplaces with a hierarchical process; each data V&V stage provides a layer of data abstraction, value-added services, and authenticity based on Artificial Intelligence (AI). In addition, this proposed solution applies Distributed Ledger Technology (DLT) for a decentralised approach where each user keeps and maintains the data within a ledger. The presented model is validated in real data marketplace applications: 1) live data for the Newcastle Urban Observatory Smart City Project, where data are collected from sensors embedded within the smart city via APIs; 2) static data for University College London (UCL)—Real Estate—PEARL Project, where different project users and stakeholders introduce data into a Project Information Model (PIM).",,2096-7209
BARCAUI2023100101,article,Who is better in project planning?Generative artificial intelligence or project managers?,André Barcaui and André Monat,2023,Project Leadership and Society,4,,100101,https://doi.org/10.1016/j.plas.2023.100101,https://www.sciencedirect.com/science/article/pii/S2666721523000224,"Generative, Artificial intelligence, Project management","This paper presents a comparative study of generative artificial intelligence (AI), specifically the GPT-4 model, and a human project manager in the context of a project plan development. The study's objective was to analyze the content and structure of a project plan prepared by this disruptive new technology and its human counterpart, focusing on the digital technology sector. Through a primarily qualitative methodology, the study scrutinizes critical aspects of each part of the project plan, including scope preparation, schedule development, cost estimation, resources evaluation, quality planning, stakeholder mapping, communication planning, and risk analysis. The results indicate unique strengths and weaknesses for both AI-generated and human-generated project plans, revealing them as complementary in the project planning process. It also emphasizes the continued importance of human expertise in refining AI outputs and harnessing the full potential of AI through the process known as prompt engineering. In conclusion, this study illustrates the potential synergy between human experience and AI in project planning, suggesting the careful integration of human and AI capabilities is key to developing robust and trustworthy project plans.",,2666-7215
ZHOU2025103142,article,Augmenting general-purpose large-language models with domain-specific multimodal knowledge graph for question-answering in construction project management,Shenghua Zhou and Keyan Liu and Dezhi Li and Chun Fu and Yan Ning and Wenying Ji and Xuefan Liu and Bo Xiao and Ran Wei,2025,Advanced Engineering Informatics,65,,103142,https://doi.org/10.1016/j.aei.2025.103142,https://www.sciencedirect.com/science/article/pii/S1474034625000357,"GLM, Construction Project Management, QA, Multimodal Knowledge Graph","Current studies on Question-Answering of Construction Project Management (CPM-QA) face challenges, including the small-scale CPM-related knowledge repositories, the limited effectiveness of QA methods using grammar rules or tiny machine-learning models, and the shortage of testing sets for comparing QA performance. Hence, this research augments general-purpose large-language models (GLMs) with the multimodal CPM knowledge graph (CPM-KG) for CPM-QA. It encompasses (i) building the multimodal CPM-KG covering 36 CPM subfields, (ii) combining CPM-KG and GLMs through three stages, (iii) developing a 2435-question CPM-QA testing set, and (iv) assessing and comparing CPM-QA accuracies for eight pairs of original and CPM-KG-augmented GLMs. The results demonstrate that CPM-KG-augmented GLMs’ CPM-QA accuracy rate is 30.0 % superior to original GLMs on average, and top-performing CPM-KG-augmented GLMs (e.g., ERNIE-Bot 4.0) pass CRCEEs. Within 36 CPM subfields, CPM-QA accuracy enhancements resulting from CPM-KG are between 12.2 % and 57.8 %. Furthermore, CPM-KG leads to CPM-QA accuracy enhancements of 19.6 % for single-answer, 48.0 % for multiple-answer, 30.6 % for text-only, and 20.4 % for image-embedded questions. The multimodal CPM-KG also outperforms the text-only single-modal CPM-KG in enhancing CPM-QA performance. This work contributes to unveiling the significance of CPM-specific knowledge in augmenting GLMs, sharing a reusable multimodal CPM-KG-formatted knowledge repository, and delivering a testing set of CPM-QA.",,1474-0346
JUNG2024105483,article,VisualSiteDiary: A detector-free Vision-Language Transformer model for captioning photologs for daily construction reporting and image retrievals,Yoonhwa Jung and Ikhyun Cho and Shun-Hsiang Hsu and Mani Golparvar-Fard,2024,Automation in Construction,165,,105483,https://doi.org/10.1016/j.autcon.2024.105483,https://www.sciencedirect.com/science/article/pii/S092658052400219X,"Computer vision, Project controls, Image captioning, Project management, Machine learning, Natural language generation, Artificial intelligence","This paper presents VisualSiteDiary, a Vision Transformer-based image captioning model which creates human-readable captions for daily progress and work activity log, and enhances image retrieval tasks. As a model for deciphering construction photologs, VisualSiteDiary incorporates pseudo-region features, utilizes high-level knowledge in pretraining, and fine-tunes for diverse captioning styles. To validate VisualSiteDiary, a new image captioning dataset, VSD, is presented. This dataset includes many realistic yet challenging cases commonly observed in commercial building projects. Experimental results using five different metrics demonstrate that VisualSiteDiary provides superior-quality captions compared to the state-of-the-art image captioning models. Excluding the task of object recognition, the presented model also outperformed mPLUG –the state-of-the-art visual-language model– in the image retrieval task by 0.6% in precision and 0.9% in recall, respectively. Detailed discussions illustrate practical examples on how VisualSiteDiary improves the process of creating daily construction reports, paving the way for future developments in the field.",,0926-5805
BAKHSHI20223188,article,Presenting a Hybrid Scheme of Machine Learning Combined with Metaheuristic Optimizers for Predicting Final Cost and Time of Project,Reza Bakhshi and Sina Fard Moradinia and Rasool Jani and Ramin Vafaei Poor,2022,KSCE Journal of Civil Engineering,26,8,3188-3203,https://doi.org/10.1007/s12205-022-1424-3,https://www.sciencedirect.com/science/article/pii/S1226798824014818,"Hybrid machine learning, Kalman filter, EVM, Artificial intelligence, Project cost, Project time","A primary task to a project manager is to ensure that the project proceeds timely and on the budget. Earned value management (EVM) is the most common method to evaluate and further predict a project in terms of time and cost. Because of poor accuracy in forecasting different durations, the application of the EVM for schedule performance prediction has been limited. Therefore, in this paper, the Kalman filter was used to analyze the data and compare the results with those of a few hybrid machine learning (HML) techniques. The innovation of this study comes in the face of the prediction of the project time and cost by efficient machine learning algorithms based on some directly measurable variables. For this purpose, 398 data points from five different dam projects were used to predict two output variables by hybrid schemes of multilayer perceptron (MLP) algorithm combined with the genetic algorithm (GA) and particle swarm optimization (PSO), herein referred to as MLP-GA and MLP-PSO, respectively. Four input variables, namely earned schedule (month), earned value ($), actual progress (%), and actual cost (%), were considered for time prediction, and the time (month) was considered as an input variable for cost prediction. The results showed that early warnings for the risk of delay in project schedule and cost were generated in months 1 and 8 by the MLP-PSO, months 1 and 11 by the MLP-GA, and rather months 7 and NV (no value) for the Kalman filter, indicating the fast operation coupled with high accuracy of the HML algorithms, as compared to the Kalman filter. In addition, the two HML algorithms were compared based on statistical error indices to determine the best one. After reviewing the results, the MLP-PSO was found to outperform the MLP-GA in terms of convergence rate and accuracy. To the best of our knowledge, none of the previous studies have used the proposed hybrid algorithms (MELM-PSO and MELM-GA) for forecasting, simultaneously, the time and cost as two critical parameters in the project management, indicating the novelty of our research.",,1226-7988
