ID,ENTRYTYPE,title,author,year,journal,booktitle,volume,number,pages,doi,url,note,bibsource,biburl,timestamp,publisher,editor,series,howpublished,month,eprint,eprinttype,urn,Abstract
DBLP:journals/fgcs/EcclesWV26,article,Mosaic: Composite projection pruning for resource-efficient LLMs,"Bailey J. Eccles and
Leon Wong and
Blesson Varghese",2026,Future Gener. Comput. Syst.,,175,,108056,10.1016/J.FUTURE.2025.108056,https://doi.org/10.1016/j.future.2025.108056,,"dblp computer science bibliography, https://dblp.org",https://dblp.org/rec/journals/fgcs/EcclesWV26.bib,"Thu, 11 Sep 2025 01:00:00 +0200",,,,,,,,,
DBLP:journals/jss/WysockiO26,article,"Leveraging LLM-based data augmentation for automatic classification
of recurring tasks in software development projects","Wlodzimierz Wysocki and
Miroslaw Ochodek",2026,J. Syst. Softw.,,231,,112641,10.1016/J.JSS.2025.112641,https://doi.org/10.1016/j.jss.2025.112641,,"dblp computer science bibliography, https://dblp.org",https://dblp.org/rec/journals/jss/WysockiO26.bib,"Tue, 07 Oct 2025 01:00:00 +0200",,,,,,,,,
DBLP:journals/access/AboukadriOMA25,article,"Leveraging {RAG} and LLMs for Access Control Policy Extraction From
User Stories in Agile Software Development","Sara Aboukadri and
Aafaf Ouaddah and
Abdellatif Mezrioui and
Ikram El Asri",2025,{IEEE} Access,,13,,116462--116472,10.1109/ACCESS.2025.3586203,https://doi.org/10.1109/ACCESS.2025.3586203,,"dblp computer science bibliography, https://dblp.org",https://dblp.org/rec/journals/access/AboukadriOMA25.bib,"Sat, 09 Aug 2025 01:00:00 +0200",,,,,,,,,"Agile development has become increasingly popular among software development teams due to its capacity to deliver and update software rapidly while accommodating evolving requirements. Within this dynamic context, access control policies are critical for ensuring the security of systems by defining who can access specific resources under given conditions. However, identifying and documenting these policies often rely on manual, time-intensive processes prone to errors and oversight. This paper proposes an innovative framework leveraging Retrieval-Augmented Generation (RAG) and Large Language Models (LLMs) to automate the extraction and organization of access control policies from user stories and software documentation. The framework focuses on the early stages of the development lifecycle, capturing access control requirements as expressed in natural language artifacts. It comprises two core components: 1) a pipeline for extracting and categorizing access control policies, enabling precise mappings between roles, actions, and resources, and 2) an interactive chatbot designed to support Security Operations Center (SOC) analysts in evaluating suspicious access requests by providing contextualized insights into access policies. By integrating advanced natural language processing techniques with retrieval-based augmentation, the framework aims to reinforce access control mechanisms by improving visibility, and providing contextualized insights for security analysts."
DBLP:journals/ase/LiuJZNLL25,article,"Exploring the potential of general purpose LLMs in automated software
refactoring: an empirical study","Bo Liu and
Yanjie Jiang and
Yuxia Zhang and
Nan Niu and
Guangjie Li and
Hui Liu",2025,Autom. Softw. Eng.,,32,1,26,10.1007/S10515-025-00500-0,https://doi.org/10.1007/s10515-025-00500-0,,"dblp computer science bibliography, https://dblp.org",https://dblp.org/rec/journals/ase/LiuJZNLL25.bib,"Thu, 31 Jul 2025 01:00:00 +0200",,,,,,,,,
DBLP:journals/cgf/SevastjanovaGSE25,article,"\emph{LayerFlow}: Layer-wise Exploration of {LLM} Embeddings using
Uncertainty-aware Interlinked Projections","Rita Sevastjanova and
Robin Gerling and
Thilo Spinner and
Mennatallah El{-}Assady",2025,Comput. Graph. Forum,,44,3,,10.1111/CGF.70123,https://doi.org/10.1111/cgf.70123,,"dblp computer science bibliography, https://dblp.org",https://dblp.org/rec/journals/cgf/SevastjanovaGSE25.bib,"Thu, 11 Sep 2025 01:00:00 +0200",,,,,,,,,"<jats:title>Abstract</jats:title>Large language models (LLMs) represent words through contextual word embeddings encoding different language properties like semantics and syntax. Understanding these properties is crucial, especially for researchers investigating language model capabilities, employing embeddings for tasks related to text similarity, or evaluating the reasons behind token importance as measured through attribution methods. Applications for embedding exploration frequently involve dimensionality reduction techniques, which reduce high‐dimensional vectors to two dimensions used as coordinates in a scatterplot. This data transformation step introduces uncertainty that can be propagated to the visual representation and influence users' interpretation of the data. To communicate such uncertainties, we present <jats:bold>LayerFlow</jats:bold> – a visual analytics workspace that displays embeddings in an interlinked projection design and communicates the transformation, representation, and interpretation uncertainty. In particular, to hint at potential data distortions and uncertainties, the workspace includes several visual components, such as convex hulls showing 2D and HD clusters, data point pairwise distances, cluster summaries, and projection quality metrics. We show the usability of the presented workspace through replication and expert case studies that highlight the need to communicate uncertainty through multiple visual components and different data perspectives."
DBLP:journals/cluster/ChandraKPA25,article,"Decision support system for Forest fire management using Ontology
with Big Data and LLMs","Ritesh Chandra and
Shashi Shekhar Kumar and
Rushil Patra and
Sonali Agarwal",2025,Clust. Comput.,,28,8,548,10.1007/S10586-025-05383-0,https://doi.org/10.1007/s10586-025-05383-0,,"dblp computer science bibliography, https://dblp.org",https://dblp.org/rec/journals/cluster/ChandraKPA25.bib,"Sun, 07 Sep 2025 01:00:00 +0200",,,,,,,,,"Forests are crucial for ecological balance, but wildfires, a major cause of forest loss, pose significant risks. Fire weather indices, which assess wildfire risk and predict resource demands, are vital. With the rise of sensor networks in fields like healthcare and environmental monitoring, semantic sensor networks are increasingly used to gather climatic data such as wind speed, temperature, and humidity. However, processing these data streams to determine fire weather indices presents challenges, underscoring the growing importance of effective forest fire detection. This paper discusses using Apache Spark for early forest fire detection, enhancing fire risk prediction with meteorological and geographical data. Building on our previous development of Semantic Sensor Network (SSN) ontologies and Semantic Web Rules Language (SWRL) for managing forest fires in Monesterial Natural Park, we expanded SWRL to improve a Decision Support System (DSS) using a Large Language Models (LLMs) and Spark framework. We implemented real-time alerts with Spark streaming, tailored to various fire scenarios, and validated our approach using ontology metrics, query-based evaluations, LLMs score precision, F1 score, and recall measures."
DBLP:journals/cm/MekracheMKBV25,article,"On Combining {XAI} and LLMs for Trustworthy Zero-Touch Network and
Service Management in 6G","Abdelkader Mekrache and
Mohamed Mekki and
Adlen Ksentini and
Bouziane Brik and
Christos V. Verikoukis",2025,{IEEE} Commun. Mag.,,63,4,154--160,10.1109/MCOM.002.2400276,https://doi.org/10.1109/MCOM.002.2400276,,"dblp computer science bibliography, https://dblp.org",https://dblp.org/rec/journals/cm/MekracheMKBV25.bib,"Wed, 23 Apr 2025 01:00:00 +0200",,,,,,,,,"Zero-touch network and service management (ZSM) is a key pillar of 6G networks. It allows the 6G management and orchestration framework to operate the networks without external (e.g., human) intervention. To effectively achieve ZSM, advanced network management procedures are required to detect and resolve anomalies within the 6G network autonomously, which usually requires artificial intelligence (AI) and machine learning (ML) models. However, relying solely on AI can raise concerns about trust due to their lack of explainability. Indeed, as these models are not explainable, it is difficult to understand and trust their decisions. To overcome this limitation, this article introduces a novel pipeline for ensuring trustworthy ZSM in 6G networks by combining AI for detecting anomalies; eXplainable AI (XAI) to identify the root causes of anomalies using feature importance analysis; and large language models (LLMs) to generate user-friendly explanations and suggest/apply corrective actions to resolve anomalies. A use case is presented using XGBoost as AI, SHAP as XAI, and Llama2 as LLM to address service level agreement (SLA) latency violations within cloud-native 6G microservices. Evaluation results obtained through real experiments demonstrate the framework's efficiency in scaling cloud resources to prevent SLA violations while providing understandable explanations to users, thereby enhancing trust in the system."
DBLP:journals/computer/Vieira25,article,"Leveraging LLMs for Trustworthy Software Engineering: Insights and
Challenges",Marco Vieira,2025,Computer,,58,7,79--90,10.1109/MC.2025.3546204,https://doi.org/10.1109/MC.2025.3546204,,"dblp computer science bibliography, https://dblp.org",https://dblp.org/rec/journals/computer/Vieira25.bib,"Sat, 09 Aug 2025 01:00:00 +0200",,,,,,,,,"Large language models (LLMs) are transforming software engineering by accelerating development, reducing complexity, and cutting costs. If fully integrated into the software lifecycle they will have the potential to drive design, development, and deployment. However, LLM-driven trustworthy software engineering requires addressing multiple challenges."
DBLP:journals/fcomp/HemmatSRLT25,article,"Research directions for using {LLM} in software requirement engineering:
a systematic review","Arshia Hemmat and
Mohammadreza Sharbaf and
Shekoufeh Kolahdouz Rahimi and
Kevin Lano and
Sobhan Yassipour Tehrani",2025,Frontiers Comput. Sci.,,7,,,10.3389/FCOMP.2025.1519437,https://doi.org/10.3389/fcomp.2025.1519437,,"dblp computer science bibliography, https://dblp.org",https://dblp.org/rec/journals/fcomp/HemmatSRLT25.bib,"Sun, 27 Apr 2025 01:00:00 +0200",,,,,,,,,"Natural Language Processing (NLP) and Large Language Models (LLMs) are transforming the landscape of software engineering, especially in the domain of requirement engineering. Despite significant advancements, there is a notable lack of comprehensive survey papers that provide a holistic view of the impact of these technologies on requirement engineering. This paper addresses this gap by reviewing the current state of NLP and LLMs in requirement engineering.We analyze trends in software requirement engineering papers, focusing on the application of NLP and LLMs. The review highlights their effects on improving requirement extraction, analysis, and specification, and identifies key patterns in the adoption of these technologies.The findings reveal an upward trajectory in the use of LLMs for software engineering tasks, particularly in requirement engineering. The review underscores the critical role of requirement engineering in the software development lifecycle and emphasizes the transformative potential of LLMs in enhancing precision and reducing ambiguities in requirement specifications.This paper identifies a growing interest and significant progress in leveraging LLMs for various software engineering tasks, particularly in requirement engineering. It provides a foundation for future research and highlights key challenges and opportunities in this evolving field."
DBLP:journals/frai/DyachenkoHSSN25,article,{LLM} services in the management of social communications,"Yuriy Dyachenko and
Oleksandra Humenna and
Oleg Soloviov and
Inna Skarga{-}Bandurova and
Nayden Nenkov",2025,Frontiers Artif. Intell.,,8,,,10.3389/FRAI.2025.1474017,https://doi.org/10.3389/frai.2025.1474017,,"dblp computer science bibliography, https://dblp.org",https://dblp.org/rec/journals/frai/DyachenkoHSSN25.bib,"Thu, 01 May 2025 01:00:00 +0200",,,,,,,,,"This paper proposes enhancing social communication management with a behavioral economics approach through artificial intelligence instruments. The research aims to explore the influence of social communication on citizens’ behavior using large language model services and assess its effectiveness. The paper builds on Daniel Kahneman’s dual-process theory, highlighting the intuitive system (System 1) and the rational system (System 2) in decision-making. The author introduces a third system, System 3, representing rooted in identity socially conditioned behavior influenced by societal norms and self-awareness. On this theoretical basis, the paper emphasizes automating communication management through large language model services, freeing up citizens’ potential for self-determination and self-organization. By leveraging these services, messages can be crafted to support social transformation while respecting historical, cultural, and political contexts. Based on the preconditions and restrictions described above, we use GPT-4 model to generate messages based on these narratives. The experiment will use an observational study design with virtual persons. To compare the impact of original and modified messages according to the addressee’s mentality, we used the Claude 3.5 Sonnet model. We can see that the potential activity of respondents after perceiving the changed message does not change much, and the original message is perceived. Modifying messages by LLM services crafted to support social transformation while respecting historical, cultural, and political contexts cause attitudes to become substantially more negative (2.5 units downward shift in median); the intentions showed a slight positive increase (0.2 units upward change in median)."
