title,authors,source,year,doi,abstract
Generative artificial intelligence for software engineering—A research agenda,"A Nguyen‐Duc, B Cabrero‐Daniel… - Software: Practice …, 2025 - Wiley Online Library",Google Scholar via SerpApi,2025,https://onlinelibrary.wiley.com/doi/abs/10.1002/spe.70005,"Context Generative artificial intelligence (GenAI) tools have become increasingly prevalent in software development, offering assistance to various managerial and technical project …"
Opportunities and Challenges in the Cultivation of Software Development Professionals in the Context of Large Language Models,"P Chen, SB Alias - … International Symposium on Artificial Intelligence for …, 2024 - dl.acm.org",Google Scholar via SerpApi,2025,https://dl.acm.org/doi/abs/10.1145/3700297.3700342,"In the context of the rapid development of Large Language Models (LLMs), the field of software development has undergone significant transformations presenting both opportunities …"
Towards LLM-augmented multiagent systems for agile software engineering,"K Cinkusz, JA Chudziak - Proceedings of the 39th IEEE/ACM …, 2024 - dl.acm.org",Google Scholar via SerpApi,2025,https://dl.acm.org/doi/abs/10.1145/3691620.3695336,"… The integration of cognitive agents, powered by LLMs, is significantly transforming software project management within MAS by enhancing the adaptability and efficiency of Agile …"
Keynote on Augmented Agile: Human-centred AI-assisted Software Project Management at FinanSE Workshop (ICSE 2024),"R Hoda - Proceedings of the 1st IEEE/ACM Workshop on …, 2024 - dl.acm.org",Google Scholar via SerpApi,2025,https://dl.acm.org/doi/abs/10.1145/3643665.3648567,… a vision of a new future of software project management – augmented agile – that combines a … opportunities to harness technological advancements in the field of artificial intelligence. …
"Model Driven Engineering, Artificial Intelligence, and DevOps for Software and Systems Engineering: A Systematic Mapping Study of Synergies and Challenges","L Berardinelli, V Muttillo, R Eramo… - ACM Transactions on …, 2025 - dl.acm.org",Google Scholar via SerpApi,2025,https://dl.acm.org/doi/abs/10.1145/3759454,"This paper presents a systematic mapping study classifying existing scientific contributions on synergies of Model Driven Engineering (MDE), Artificial Intelligence/Machine Learning (AI/…"
Future trends in IT project management–large organizations perspective,"P Felcenloben - Humanities and Social Sciences Reviews, 2023 - academia.edu",Google Scholar via SerpApi,2025,https://www.academia.edu/download/119874602/3810.pdf,"… This article focuses on identifying and understanding trends in IT project management, particularly from the perspective of large organizations. Project management as such is a …"
Enhancing software effort estimation through reinforcement learning-based project management-oriented feature selection,"H Chen, B Xu, LZR Wong, K Zhong - International Journal of …, 2025 - emerald.com",Google Scholar via SerpApi,2025,https://www.emerald.com/insight/content/doi/10.1108/ijmpb-03-2024-0065/full/html,"… Through an in-depth analysis of these questions, this paper aims to provide new perspectives and methods for software project management, helping to address the increasingly …"
Agents assisted software project management,"A Sethuraman, KK Yalla, A Sarin… - Proceedings of the 1st …, 2008 - dl.acm.org",Google Scholar via SerpApi,2025,https://dl.acm.org/doi/abs/10.1145/1341771.1341777,… We present here details of our experiments on how the multi-agent technology can be used to improve the productivity and quality of software project management (SPM) process. We …
Software project management tools in global software development: a systematic mapping study,"SY Chadli, A Idri, JN Ros, JL Fernández-Alemán… - SpringerPlus, 2016 - Springer",Google Scholar via SerpApi,2025,https://link.springer.com/article/10.1186/s40064-016-3670-7,Global software development (GSD) which is a growing trend in the software industry is characterized by a highly distributed environment. Performing software project management (…
A software agent framework for the support of software project management,"R Nienaber, E Cloete - Proceedings of the 2003 annual research …, 2003 - dl.acm.org",Google Scholar via SerpApi,2025,https://dl.acm.org/doi/abs/10.5555/954014.954017,… tool to improve software project management processes. We also propose and discuss a software agent framework to support distributed software project management. Although still in …
